feature_set,mode,model_name,candidate_id,params_json,fold_index,n_features,n_train_rows,n_test_rows,n_train_groups,n_test_groups,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,block_size_deg,n_splits
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",0,13,2700,676,615,154,0.24105462419312262,0.10177046289439495,0.011627845690421837,0.01233192124695978,0.008762755708817002,0.009359414729359163,0.02,5
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,13,2701,675,616,153,0.2556244556200732,0.0654560299452347,0.011744644971807924,0.011483989925283107,0.008734035282320075,0.00898574590831773,0.02,5
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",2,13,2701,675,615,154,0.24420834177448392,0.12310590453575354,0.012022081325358678,0.01014753342796321,0.008924116208077348,0.008180450324894761,0.02,5
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3,13,2701,675,615,154,0.22574743078342274,0.12345472900136578,0.011203410769746076,0.014302505600964091,0.008484152224204013,0.010131098785826182,0.02,5
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",4,13,2701,675,615,154,0.24481204152580738,0.07925205506308453,0.011180903604984747,0.014237620823415042,0.00856032202281043,0.009950103791920295,0.02,5
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",0,13,2700,676,615,154,0.2973698167376708,0.11481893520707098,0.011188127351617056,0.012242021394042974,0.008249908784051008,0.009138388212902672,0.02,5
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,13,2701,675,616,153,0.3171437617032816,0.05999246412883197,0.011248859320633539,0.011517510070126639,0.008161651935518962,0.008952824080057533,0.02,5
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",2,13,2701,675,615,154,0.30933864527316657,0.11873935055113649,0.011492412146045395,0.010172767221192314,0.00834000871723488,0.008118516328872604,0.02,5
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3,13,2701,675,615,154,0.29550856522010205,0.1323332184517031,0.01068677807092044,0.014229886511167193,0.007896845489020548,0.009969308370269542,0.02,5
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",4,13,2701,675,615,154,0.30330825284501806,0.09722818929287669,0.010739145043599435,0.014097952349653588,0.008014199073804414,0.00987097987075048,0.02,5
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",0,13,2700,676,615,154,0.07494485044384369,0.09091810203662853,0.012837421847962601,0.01240619438345003,0.009398039506384999,0.009437629841670722,0.02,5
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",1,13,2701,675,616,153,0.08521277194898946,0.032106428975313905,0.013019787351556357,0.011687099341357794,0.009470552981533773,0.009040184918167911,0.02,5
