spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
12_19,26,50.977968,50.99604,29.761979,29.776258
13_15,21,50.998937,51.01699,29.681059,29.695343
2_7,21,50.7775,50.79279,29.51921,29.538263
11_27,20,50.95995,50.971973,29.919047,29.938085
5_17,20,50.837759,50.85599,29.71912,29.73844
10_25,19,50.938999,50.95675,29.8806,29.895249
18_38,18,51.097862,51.11399,30.14231,30.15733
10_26,16,50.938999,50.953985,29.900008,29.914288
13_32,16,50.998821,51.016936,30.01928,30.038037
15_37,16,51.043903,51.05303,30.11928,30.13888
16_44,16,51.061899,51.0772,30.261741,30.275359
4_20,16,50.819071,50.837058,29.78084,29.79894
5_34,16,50.84286,50.855067,30.060759,30.07775
12_10,15,50.980348,50.992955,29.581112,29.595394
13_19,15,50.99842,51.016923,29.761979,29.776258
3_10,15,50.800845,50.81621,29.580593,29.59632
4_10,15,50.81824,50.837082,29.581102,29.595492
13_7,14,50.998937,51.016936,29.519238,29.538263
16_50,14,51.067894,51.07715,30.380797,30.395039
18_17,14,51.097862,51.115856,29.723898,29.738181
18_19,14,51.097862,51.115913,29.76188,29.779019
9_13,14,50.917997,50.93602,29.642988,29.65778
9_7,14,50.918015,50.935984,29.519238,29.538276
10_18,13,50.944977,50.95706,29.742941,29.75722
10_5,13,50.944977,50.956985,29.48112,29.498977
15_19,13,51.043914,51.054895,29.761979,29.776258
15_35,13,51.0377,51.052906,30.07969,30.0964
18_37,13,51.097862,51.11586,30.12236,30.13886
18_45,13,51.097862,51.11654,30.27978,30.29691
6_17,13,50.858064,50.873052,29.719142,29.73887
7_8,13,50.879047,50.891017,29.54293,29.55745
9_23,13,50.91783,50.93631,29.842368,29.857172
9_25,13,50.917997,50.93631,29.88097,29.89579
13_24,12,50.998937,51.01713,29.861932,29.87145
4_35,12,50.819096,50.837082,30.080875,30.095167
4_7,12,50.819096,50.837058,29.519238,29.538276
6_30,12,50.85755,50.873153,29.980922,29.99604
11_7,11,50.962981,50.97556,29.519238,29.538276
16_43,11,51.061889,51.071208,30.242496,30.256998
19_24,11,51.118854,51.136839,29.86163,29.87621
3_26,11,50.798112,50.816099,29.900008,29.91599
8_28,11,50.900011,50.915018,29.942845,29.957124
11_19,10,50.959983,50.974971,29.761979,29.77673
12_18,10,50.98095,50.99592,29.752457,29.75746
12_20,10,50.977968,50.99257,29.781017,29.7955
13_12,10,50.998937,51.016936,29.61909,29.63822
13_23,10,50.998937,51.01694,29.8409,29.858363
15_20,10,51.043914,51.0527,29.78018,29.795297
16_21,10,51.061889,51.070892,29.804816,29.814334
16_22,10,51.061889,51.073889,29.819094,29.838134
16_30,10,51.061889,51.07692,29.98019,29.99521
18_39,10,51.09777,51.1098,30.161788,30.17192
4_11,10,50.819096,50.837058,29.600151,29.60967
5_14,10,50.83732,50.855044,29.66146,29.676306
5_30,10,50.843077,50.85538,29.98077,29.996051
9_12,10,50.917997,50.936001,29.62394,29.638228
9_26,10,50.918015,50.93622,29.900008,29.90966
12_14,9,50.977968,50.989943,29.662026,29.672319
12_2,9,50.97809,50.989958,29.423092,29.438306
12_7,9,50.977412,50.99654,29.519196,29.538276
13_20,9,50.998937,51.016936,29.7806,29.795361
13_31,9,50.998937,51.01729,29.999961,30.019
14_26,9,51.025929,51.034922,29.90069,29.918192
15_36,9,51.040916,51.052896,30.109447,30.118952
15_40,9,51.04285,51.056141,30.18082,30.198787
19_27,9,51.12447,51.132663,29.919047,29.93698
4_13,9,50.819071,50.83716,29.642988,29.657267
7_25,9,50.879047,50.891118,29.88097,29.895253
8_11,9,50.900031,50.909185,29.600151,29.61443
8_22,9,50.900011,50.915018,29.823854,29.838134
9_6,9,50.918015,50.935984,29.500199,29.514478
10_24,8,50.938095,50.953985,29.86207,29.87865
11_20,8,50.96294,50.974971,29.781017,29.795297
12_27,8,50.980965,50.99581,29.91944,29.938092
12_29,8,50.97771,50.989943,29.965897,29.976163
13_27,8,50.998937,51.016923,29.923812,29.938092
13_28,8,50.998937,51.016936,29.942845,29.957124
14_16,8,51.019934,51.034922,29.700103,29.714382
14_28,8,51.019934,51.034054,29.94257,29.952965
16_26,8,51.061889,51.077297,29.900008,29.914288
16_40,8,51.058876,51.07092,30.180568,30.19891
17_32,8,51.079885,51.09238,30.02322,30.03901
17_47,8,51.07903,51.096486,30.32302,30.33817
18_24,8,51.097862,51.116264,29.861932,29.87621
18_32,8,51.097862,51.116417,30.01932,30.038037
2_32,8,50.783125,50.795414,30.023759,30.038037
2_33,8,50.783098,50.795115,30.040083,30.057076
