spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
9_24,6,50.932329,50.94487,29.876318,29.895249
16_44,5,51.07112,51.07985,30.28069,30.29523
8_22,5,50.909023,50.92377,29.838133,29.8523
9_23,5,50.93393,50.944693,29.86207,29.86825
10_17,4,50.947991,50.96336,29.73859,29.75333
10_24,4,50.94781,50.96309,29.87865,29.89494
13_23,4,51.0079,51.02015,29.85768,29.86675
13_27,4,51.00832,51.02256,29.938092,29.95249
13_32,4,51.01669,51.022164,30.0377,30.05093
14_25,4,51.02773,51.04398,29.90069,29.91425
16_29,4,51.07107,51.081516,29.98019,29.99411
16_42,4,51.07076,51.079876,30.23779,30.252243
18_37,4,51.10651,51.11586,30.13847,30.152575
10_23,3,50.94783,50.96238,29.86594,29.872403
13_31,3,51.0072,51.01689,30.01928,30.02819
13_4,3,51.016923,51.02296,29.481023,29.494968
13_6,3,51.00804,51.02546,29.52235,29.52588
14_34,3,51.0352,51.04409,30.07969,30.09093
15_36,3,51.046912,51.061889,30.123726,30.133231
15_40,3,51.05272,51.061738,30.195435,30.20061
16_25,3,51.07154,51.08329,29.90467,29.90931
16_47,3,51.07149,51.0802,30.33656,30.3521
16_49,3,51.070883,51.07991,30.38073,30.39463
17_18,3,51.09198,51.10423,29.75775,29.76195
17_32,3,51.08949,51.09238,30.03711,30.05345
18_17,3,51.10995,51.12511,29.738181,29.74291
18_23,3,51.11565,51.12501,29.86163,29.8666
18_27,3,51.107076,51.12493,29.93698,29.955287
18_31,3,51.11288,51.121852,30.01851,30.02203
18_35,3,51.106865,51.115856,30.095488,30.109789
18_45,3,51.10672,51.11642,30.29606,30.30873
3_9,3,50.810078,50.81923,29.581102,29.59508
4_19,3,50.8279,50.83024,29.78119,29.795297
4_27,3,50.828089,50.84004,29.937748,29.952364
4_34,3,50.827524,50.84613,30.07978,30.081477
4_6,3,50.82844,50.83403,29.519772,29.52908
5_29,3,50.85492,50.86422,29.98096,29.995201
6_29,3,50.87019,50.885522,29.986943,29.995201
6_7,3,50.87312,50.88234,29.53874,29.55243
8_12,3,50.90976,50.92395,29.64777,29.65255
8_27,3,50.908862,50.918015,29.93895,29.952364
9_25,3,50.92674,50.94508,29.89579,29.90966
10_14,2,50.95103,50.961887,29.67626,29.695044
10_2,2,50.94813,50.96295,29.43806,29.45218
10_25,2,50.94806,50.96457,29.90969,29.91055
10_26,2,50.953443,50.96273,29.92281,29.927568
10_4,2,50.95397,50.96309,29.48104,29.481144
10_8,2,50.953985,50.963843,29.566834,29.568409
10_9,2,50.950989,50.953985,29.576353,29.581112
11_10,2,50.980348,50.98098,29.595394,29.60994
11_13,2,50.977968,50.983963,29.662026,29.666786
11_18,2,50.98055,50.98108,29.75715,29.7714
11_19,2,50.97223,50.98036,29.77673,29.78619
11_26,2,50.97124,50.986,29.91985,29.92359
11_27,2,50.96872,50.980922,29.948,29.952048
11_30,2,50.97261,50.97835,30.00841,30.01494
11_6,2,50.97487,50.97511,29.52447,29.5334
12_15,2,50.989943,51.001948,29.695338,29.695343
12_17,2,50.98956,50.98991,29.73812,29.7527
12_18,2,50.99019,50.99842,29.76682,29.767031
12_19,2,50.99056,51.0051,29.78161,29.79124
12_29,2,50.98754,50.99025,29.98126,29.99456
12_6,2,50.98989,50.99902,29.52395,29.52905
13_11,2,51.011283,51.016936,29.61909,29.62395
13_14,2,51.010941,51.01699,29.681065,29.69527
13_15,2,51.010941,51.02572,29.695343,29.7098
13_30,2,51.015104,51.01733,29.995365,30.01091
14_39,2,51.04325,51.04561,30.18084,30.19134
15_17,2,51.05297,51.05312,29.73811,29.75195
15_18,2,51.04676,51.05307,29.76716,29.77086
15_19,2,51.04988,51.05195,29.78041,29.79071
15_37,2,51.04714,51.05289,30.13888,30.14791
15_43,2,51.0527,51.06536,30.26233,30.26792
16_21,2,51.067894,51.06997,29.819094,29.82462
16_45,2,51.0716,51.079876,30.29536,30.309361
17_31,2,51.08838,51.097862,30.02322,30.023769
17_41,2,51.08882,51.09777,30.22364,30.22431
17_42,2,51.08904,51.098,30.25095,30.25237
17_44,2,51.08875,51.08902,30.28173,30.2943
17_45,2,51.08871,51.0983,30.29691,30.30723
18_19,2,51.10689,51.123834,29.77648,29.781093
18_34,2,51.106864,51.115856,30.080875,30.080875
18_40,2,51.1069,51.115849,30.209404,30.21022
18_43,2,51.10643,51.10971,30.2664,30.27507
18_44,2,51.10977,51.11654,30.28486,30.28535
19_23,2,51.13967,51.14306,29.85566,29.86646
1_6,2,50.77541,50.78292,29.52433,29.52476
2_30,2,50.801379,50.801488,29.995708,30.008669
