Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
1,51.160815,29.852414,0.09,0.1,7.0,7.0,13.0,14.0,71.0,71.0,126.0,128.0,52.0,53.0,143.0,18.3,4.94
2,51.151827,29.838133,0.09,0.09,4.0,4.0,17.0,19.0,57.0,57.0,136.0,134.0,60.0,60.0,132.0,1.7,7.4
3,51.151827,29.852412,0.09,0.1,4.0,4.0,14.0,16.0,61.0,61.0,133.0,133.0,57.0,56.0,129.0,5.5,6.17
4,51.151183,29.86728,0.09,0.11,5.0,5.0,13.0,15.0,61.0,61.0,128.0,130.0,58.0,58.0,136.0,12.5,5.29
5,51.151822,29.880973,0.1,0.11,5.0,5.0,11.0,12.0,72.0,72.0,126.0,128.0,55.0,55.0,136.0,24.1,4.83
6,51.142829,29.852414,0.1,0.11,4.0,4.0,13.0,14.0,62.0,62.0,129.0,130.0,62.0,62.0,133.0,4.9,5.91
7,51.14306,29.85566,0.1,0.11,5.0,5.0,13.0,15.0,62.0,62.0,130.0,131.0,60.0,60.0,134.0,22.5,5.11
8,51.142835,29.861932,0.1,0.11,5.0,4.0,14.0,15.0,64.0,64.0,135.0,134.0,60.0,60.0,127.0,6.0,7.05
9,51.142829,29.866694,0.11,0.11,4.0,4.0,14.0,15.0,61.0,61.0,134.0,133.0,57.0,57.0,127.0,11.1,5.68
10,51.142829,29.880973,0.1,0.12,4.0,4.0,14.0,16.0,62.0,61.0,133.0,134.0,63.0,63.0,130.0,10.9,5.64
11,51.139837,29.861932,0.1,0.1,4.0,5.0,14.0,16.0,64.0,63.0,133.0,133.0,59.0,60.0,131.0,7.3,5.92
12,51.13967,29.86646,0.1,0.1,5.0,4.0,14.0,16.0,62.0,62.0,133.0,132.0,59.0,59.0,129.0,17.9,5.54
13,51.139837,29.87145,0.09,0.11,5.0,4.0,13.0,15.0,60.0,60.0,131.0,132.0,60.0,60.0,126.0,7.0,6.79
14,51.136839,29.86669,0.09,0.1,4.0,4.0,13.0,15.0,60.0,61.0,133.0,132.0,58.0,58.0,132.0,4.9,6.7
15,51.136839,29.87145,0.09,0.1,3.0,3.0,15.0,17.0,59.0,59.0,136.0,134.0,62.0,62.0,132.0,17.7,4.97
